geography,year,n_areas,z_total_mean,z_total_lo90,z_total_hi90
Merton,2014,126,847.1612236162758,697.9532375767805,1001.5900270851716
Merton,2015,126,439.64249197256464,328.81193881695805,568.0399636983119
Merton,2016,126,940.010554161784,817.78096216188,1070.520518019268
Merton,2017,126,540.8711345179427,441.7252612185829,658.9628324211758
Merton,2018,126,580.4057865739961,464.6110118859404,708.9405471795783
Merton,2019,126,521.3955941838167,418.7009645888759,644.1497021217662
Merton,2020,126,461.9171143829197,325.58862550399016,611.2261652445765
Merton,2021,126,459.24339364105043,349.09993422613906,582.583130946297
Merton,total,126,5714.0,5714.0,5714.0
Newham,2012,185,1324.5144589918568,913.1001839319235,1725.1063077180247
Newham,2013,185,2155.646528850905,1769.8546885336355,2752.419305436572
Newham,2014,185,1995.858036430929,1586.7623003927642,2457.4847797699404
Newham,2015,185,2541.358998911504,2120.8757720431795,2909.4553907971217
Newham,2016,185,3255.1090813050123,2789.6138444293847,3716.743939343986
Newham,2017,185,2173.86635841979,1759.4641180601266,2584.6801882216287
Newham,2018,185,2423.1736123146306,1964.9092108499335,3050.6848333885455
Newham,2019,185,2213.4599658443126,1856.2788751347953,2621.3613177389293
Newham,2020,185,2208.135451952327,1840.8475632555003,2597.6677948531706
Newham,2021,185,1518.8775069787323,1071.5804233826557,1957.0712442426145
Newham,total,185,21810.0,21810.000000000004,21810.000000000004
Redbridge,2012,164,478.99649922874073,358.02551907938187,615.0369520734716
Redbridge,2013,164,521.895461187625,367.90106967148745,685.0496478916672
Redbridge,2014,164,556.3695730787225,425.0397358005533,695.485457884175
Redbridge,2015,164,514.8527406244236,368.4389765917984,677.8490360596429
Redbridge,2016,164,570.039641604473,423.0916177299237,734.7169790171287
Redbridge,2017,164,664.4724764407031,522.8057469379547,813.0411833865836
Redbridge,2018,164,782.665258326077,638.622718523186,926.3744351436309
Redbridge,2019,164,640.9821576632742,508.2210310472071,791.1638126727175
Redbridge,2020,164,748.76041328646,627.0868137452284,888.6700338248362
Redbridge,2021,164,665.9657785595011,536.2651322589511,811.2191495171631
Redbridge,total,164,6145.0,6145.0,6145.0
Richmond upon Thames,2012,115,369.56289062348475,287.2225986998491,466.3559630933623
Richmond upon Thames,2013,115,459.79271154829974,350.32949259189786,569.9637995771951
Richmond upon Thames,2014,115,250.36756863590247,167.76672808742094,346.2551788900116
Richmond upon Thames,2015,115,343.191600422083,253.48125158328216,443.91253881755284
Richmond upon Thames,2016,115,464.90777152737115,388.734098664408,552.8846319555498
Richmond upon Thames,2017,115,324.74437876878414,253.3753447565378,409.18705314715703
Richmond upon Thames,2018,115,366.73925039296876,275.43044552784664,460.54152831126885
Richmond upon Thames,2019,115,215.4362405842109,145.6299781202854,299.7444816926173
Richmond upon Thames,2020,115,142.40257208509306,83.80839164095971,225.72054627100647
Richmond upon Thames,2021,115,167.8550154118019,94.7621448038232,248.95021222632136
Richmond upon Thames,total,115,3105.0,3105.0,3105.0
Southwark,2012,172,1871.172441953728,1596.254288228803,2141.471398966051
Southwark,2013,172,2013.9124285749467,1695.7264614570167,2347.396381283219
Southwark,2014,172,1530.62936692133,1291.6190992164525,1798.4793956399083
Southwark,2015,172,1845.972718372286,1504.7111983829036,2174.3458945739158
Southwark,2016,172,2255.312867440288,1968.5375266446888,2554.8451164005182
Southwark,2017,172,2679.2294393052875,2363.1854643645624,2992.5077703907145
Southwark,2018,172,1997.4337282351548,1690.477641624482,2309.602873559566
Southwark,2019,172,2310.658844186819,1951.15809165613,2697.0701522145873
Southwark,2020,172,1459.0494179070306,1169.8777782140573,1821.5567415334274
Southwark,2021,172,1178.6287471031296,918.5386920748826,1443.1824972427917
Southwark,total,172,19142.0,19142.0,19142.0
Sutton,2012,123,511.4444097763755,412.92083154883613,620.5220025452815
Sutton,2013,123,502.45376380511436,414.3287466634785,599.6804080321659
Sutton,2014,123,509.33305476899835,421.15861966821444,612.6730398087285
Sutton,2015,123,323.0909676618527,230.89926400070183,434.75039033129207
Sutton,2016,123,795.7634223543268,647.347112807931,946.1076599616089
Sutton,2017,123,909.6392602256333,710.5822294214951,1071.799899320068
Sutton,2018,123,446.99604560683497,327.04364549788886,577.9981151582726
Sutton,2019,123,801.177219262002,654.9172126112361,930.0437113381925
Sutton,2020,123,310.69441464683325,234.40706133054505,412.7723294519676
Sutton,2021,123,446.4074418920287,351.4496482934511,559.4331392741739
Sutton,total,123,5557.0,5557.0,5557.0
Tower Hamlets,2012,169,3764.0423708000194,3216.129985403717,4276.663398336281
Tower Hamlets,2013,169,2564.072281494485,2035.2315600128986,3088.311052192823
Tower Hamlets,2014,169,1988.1925389189093,1580.745309209465,2361.9317991164494
Tower Hamlets,2015,169,2936.836183826842,2559.0781696017084,3330.690965327751
Tower Hamlets,2016,169,4279.757519951362,3712.374240134533,4907.848079122659
Tower Hamlets,2017,169,2973.893092610108,2536.8779814155146,3431.3666901891033
Tower Hamlets,2018,169,3096.6200348235407,2596.092513567012,3651.4428539891514
Tower Hamlets,2019,169,2715.0522985860744,2246.070072243486,3317.616194560767
Tower Hamlets,2020,169,2835.946019559063,2383.1176417497068,3322.26428927111
Tower Hamlets,2021,169,1946.5876594295949,1508.5872559457548,2439.5839254110915
Tower Hamlets,total,169,29100.999999999996,29100.999999999993,29100.999999999996
Waltham Forest,2012,146,929.6541139506786,731.5965476062164,1134.6896376431482
Waltham Forest,2013,146,1027.5994935836436,818.7262583839583,1240.2021905252025
Waltham Forest,2014,146,1171.2128295246391,989.155902976457,1368.0413551895613
Waltham Forest,2015,146,1004.3312890677893,810.3360885002644,1218.021031318446
Waltham Forest,2016,146,1259.2133728831632,1032.7476486161247,1506.387849432316
Waltham Forest,2017,146,834.6036854756177,612.3851515722976,1074.8474454294117
Waltham Forest,2018,146,1051.8571040411455,865.8541569761818,1256.7979532456127
Waltham Forest,2019,146,976.3821400141192,775.4124125481925,1198.8526867670203
Waltham Forest,2020,146,872.3471540714233,672.3157927309217,1090.2633082258258
Waltham Forest,2021,146,764.7988173877808,542.5038387558205,1031.8594114728191
Waltham Forest,total,146,9892.0,9892.0,9892.0
Wandsworth,2012,186,880.9337720182435,685.309678152442,1099.288643193517
Wandsworth,2013,186,1188.4916711002786,908.490476230057,1518.713591605832
Wandsworth,2014,186,1293.755188361297,1048.695215763763,1535.3747829906242
Wandsworth,2015,186,1512.0915358255268,1267.0169112555789,1762.3389282703506
Wandsworth,2016,186,1975.4451862686753,1736.034935557555,2215.188063863838
Wandsworth,2017,186,1838.7080323135135,1661.581906858346,2031.6123096997517
Wandsworth,2018,186,1493.0192585449902,1241.0708538428587,1749.4999649995532
Wandsworth,2019,186,1688.303957763002,1443.9323804878793,1924.2423683544696
Wandsworth,2020,186,2408.828058139937,2143.045568736381,2684.270435809603
Wandsworth,2021,186,1569.423339664536,1341.5419765462043,1820.2343639911946
Wandsworth,total,186,15849.0,15849.0,15849.0
Westminster,2012,123,698.1446823631404,518.8585077579261,878.9041503144641
Westminster,2013,123,883.1812074676379,696.7452564897745,1056.9732417305902
Westminster,2014,123,1026.0906327394302,786.0560983373413,1258.3176747244904
Westminster,2015,123,1157.252703959547,976.7186485759901,1322.645463609035
Westminster,2016,123,1346.549030217866,1184.4648155066138,1520.5174922025465
Westminster,2017,123,1281.0443957318248,1076.625351787019,1460.2861932017568
Westminster,2018,123,1323.358836564354,1133.6195746542278,1496.0037777912185
Westminster,2019,123,813.5354101111296,580.9640605239517,1019.7236609347885
Westminster,2020,123,1230.4217597761296,1022.2322724187038,1432.647213251454
Westminster,2021,123,828.4213410689408,624.0590227049425,1031.2058070343342
Westminster,total,123,10588.0,10588.0,10588.0
